Net Name,Pin,Name,
,UART,,
UART0A_RX_32670,20,P0.8,P0.8/UART0A_RX/I2S0_SDO/TMR0B_I
UART0A_TX_32670,21,P0.9,P0.9/UART0A_TX/I2S0_WS/TMR0B_O
UART0A_CTS_32670,22,P0.10,P0.10/UART0A_CTS/I2S0_SCK/TMR1B_I/DIV_CLK_OUTB
UART0A_RTS_32670,23,P0.11,P0.11/UART0A_RTS/I2S0_SDI/TMR1B_O
UART1A_RX_32670,17,P0.28,P0.28/UART1A_RX/TMR2D_I
UART1A_TX_32670,18,P0.29,P0.29/UART1A_TX/TMR2D_O
UART1A_CTS_32670,19,P0.30,P0.30/UART1A_CTS/TMR3D_I
,,,
,SPI,,
SPI0_MISO_32670,6,P0.2,P0.2/SPI0_MISO/UART1B_RX/TMR1A_I
SPI0_MOSI_32670,7,P0.3,P0.3/SPI0_MOSI/UART1B_TX/TMR1A_O
SPI0_SCK_32670,8,P0.4,P0.4/SPI0_SCK/UART1B_CTS/TMR2A_I
SPI0_SS0_32670,9,P0.5,P0.5/SPI0_SS0/UART1B_RTS/TMR2A_O/DIV_CLK_OUTA
SPI1_MISO_32670,26,P0.14,P0.14/SPI1_MISO/UART2B_RX/TMR3B_I
SPI1_MOSI_32670,27,P0.15,P0.15/SPI1_MOSI/UART2B_TX/TMR3B_O
SPI1_SCK_32670,28,P0.16,P0.16/SPI1_SCK/UART2B_CTS/TMR0C_I
SPI1_SS0_32670,29,P0.17,P0.17/SPI1_SS0/UART2B_RTS/TMR0C_O
,,,
,I2C,,
I2C0_SCL_32670,10,P0.6,P0.6/I2C0_SCL/LPTMR0_I/TMR3A_I
I2C0_SDA_32670,11,P0.7,P0.7/I2C0_SDA/LPTMR0_O/TMR3A_O
I2C1_SCL_32670,24,P0.12,P0.12/I2C1_SCL/EXT_CLK2/TMR2B_I/EXT_CLK1
I2C1_SDA_32670,25,P0.13,P0.13/I2C1_SDA/32KCAL/TMR2B_O/SPI1_SS0
I2C2_SCL_32670,30,P0.18,P0.18/I2C2_SCL/TMR1C_I
I2C2_SDA_32670,31,P0.19,P0.19/I2C2_SDA/TMR1C_O
,,,
,JTAG,,
SWDIO_32670,4,P0.0,P0.0/SWDIO/TMR0A_I
SWDCLK_32670,5,P0.1,P0.1/SWDCLK/TMR0A_O
SWDCLKB_32670,1,P0.20,P0.20/CM4_RX/TMR2C_I/SWDCLKB
SWDIOB_32670,3,P0.22,P0.22/LPTMR1_I/TMR3C_I/SWDIOB
,,,
,GPIO,,
P0_21_32670,2,P0.21,P0.21/CM4_TX/TMR2C_O
P0_23_32670,12,P0.23,P0.23/LPTMR1_O/TMR3C_O
P0_24_32670,13,P0.24,P0.24/LPUART0_CTS/UART0B_RX/TMR0D_I
P0_25_32670,14,P0.25,P0.25/LPUART0_RTS/UART0B_TX/TMR0D_O
P0_26_32670,15,P0.26,P0.26/LPUART0_RX/UART0B_CTS/TMR1D_I
P0_27_32670,16,P0.27,P0.27/LPUART0_TX/UART0B_RTS/TMR1D_O
RSTN_32670,35,RSTN,RSTN
